Agent, Maneuver,Fill, Tactic, Outline
0,c,4278255615,d,4278190335
1,f,16777215,c,16711935
2,c,4278255615,t,65535
3,f,16777215,d,4278190335
4,c,4278255615,c,16711935
5,f,16777215,t,65535
6,c,4278255615,d,4278190335
7,f,16777215,c,16711935
8,c,4278255615,t,65535
9,f,16777215,d,4278190335
10,c,4278255615,c,16711935
11,f,16777215,t,65535
12,c,4278255615,d,4278190335
13,f,16777215,c,16711935
14,c,4278255615,t,65535
15,f,16777215,d,4278190335
16,c,4278255615,c,16711935
17,f,16777215,t,65535
18,c,4278255615,d,4278190335
19,f,16777215,c,16711935
20,c,4278255615,t,65535
21,f,16777215,d,4278190335
22,c,4278255615,c,16711935
23,f,16777215,t,65535
24,c,4278255615,d,4278190335
25,f,16777215,c,16711935
26,c,4278255615,t,65535
27,f,16777215,d,4278190335
28,c,4278255615,c,16711935
29,f,16777215,t,65535
30,c,4278255615,d,4278190335
31,f,16777215,c,16711935
32,c,4278255615,t,65535
33,f,16777215,d,4278190335
34,c,4278255615,c,16711935
35,f,16777215,t,65535
36,c,4278255615,d,4278190335
37,f,16777215,c,16711935
38,c,4278255615,t,65535
39,f,16777215,d,4278190335
40,c,4278255615,c,16711935
41,f,16777215,t,65535
42,c,4278255615,d,4278190335
43,f,16777215,c,16711935
44,c,4278255615,t,65535
45,f,16777215,d,4278190335
46,c,4278255615,c,16711935
47,f,16777215,t,65535
48,c,4278255615,d,4278190335
49,f,16777215,c,16711935
50,c,4278255615,t,65535
51,f,16777215,d,4278190335
52,c,4278255615,c,16711935
53,f,16777215,t,65535
54,c,4278255615,d,4278190335
55,f,16777215,c,16711935
56,c,4278255615,t,65535
57,f,16777215,d,4278190335
58,c,4278255615,c,16711935
59,f,16777215,t,65535
60,c,4278255615,d,4278190335
61,f,16777215,c,16711935
62,c,4278255615,t,65535
63,f,16777215,d,4278190335
64,c,4278255615,c,16711935
65,f,16777215,t,65535
66,c,4278255615,d,4278190335
67,f,16777215,c,16711935
68,c,4278255615,t,65535
69,f,16777215,d,4278190335
70,c,4278255615,c,16711935
71,f,16777215,t,65535
72,c,4278255615,d,4278190335
73,f,16777215,c,16711935
74,c,4278255615,t,65535
75,f,16777215,d,4278190335
76,c,4278255615,c,16711935
77,f,16777215,t,65535
78,c,4278255615,d,4278190335
79,f,16777215,c,16711935
80,c,4278255615,t,65535
81,f,16777215,d,4278190335
82,c,4278255615,c,16711935
83,f,16777215,t,65535
84,c,4278255615,d,4278190335
85,f,16777215,c,16711935
86,c,4278255615,t,65535
87,f,16777215,d,4278190335
88,c,4278255615,c,16711935
89,f,16777215,t,65535
90,c,4278255615,d,4278190335
91,f,16777215,c,16711935
92,c,4278255615,t,65535
93,f,16777215,d,4278190335
94,c,4278255615,c,16711935
95,f,16777215,t,65535
96,c,4278255615,d,4278190335
97,f,16777215,c,16711935
98,c,4278255615,t,65535
99,f,16777215,d,4278190335
100,c,4278255615,c,16711935
101,f,16777215,t,65535
102,c,4278255615,d,4278190335
103,f,16777215,c,16711935
104,c,4278255615,t,65535
105,f,16777215,d,4278190335
106,c,4278255615,c,16711935
107,f,16777215,t,65535
108,c,4278255615,d,4278190335
109,f,16777215,c,16711935
110,c,4278255615,t,65535
111,f,16777215,d,4278190335
112,c,4278255615,c,16711935
113,f,16777215,t,65535
114,c,4278255615,d,4278190335
115,f,16777215,c,16711935
116,c,4278255615,t,65535
117,f,16777215,d,4278190335
118,c,4278255615,c,16711935
119,f,16777215,t,65535
120,c,4278255615,d,4278190335
121,f,16777215,c,16711935
122,c,4278255615,t,65535
123,f,16777215,d,4278190335
124,c,4278255615,c,16711935
125,f,16777215,t,65535
126,c,4278255615,d,4278190335
127,f,16777215,c,16711935
128,c,4278255615,t,65535
129,f,16777215,d,4278190335
130,c,4278255615,c,16711935
131,f,16777215,t,65535
132,c,4278255615,d,4278190335
133,f,16777215,c,16711935
134,c,4278255615,t,65535
135,f,16777215,d,4278190335
136,c,4278255615,c,16711935
137,f,16777215,t,65535
138,c,4278255615,d,4278190335
139,f,16777215,c,16711935
140,c,4278255615,t,65535
141,f,16777215,d,4278190335
142,c,4278255615,c,16711935
143,f,16777215,t,65535
144,c,4278255615,d,4278190335
145,f,16777215,c,16711935
146,c,4278255615,t,65535
147,f,16777215,d,4278190335
148,c,4278255615,c,16711935
149,f,16777215,t,65535
150,c,4278255615,d,4278190335
151,f,16777215,c,16711935
152,c,4278255615,t,65535
153,f,16777215,d,4278190335
154,c,4278255615,c,16711935
155,f,16777215,t,65535
156,c,4278255615,d,4278190335
157,f,16777215,c,16711935
158,c,4278255615,t,65535
159,f,16777215,d,4278190335
160,c,4278255615,c,16711935
161,f,16777215,t,65535
162,c,4278255615,d,4278190335
163,f,16777215,c,16711935
164,c,4278255615,t,65535
165,f,16777215,d,4278190335
166,c,4278255615,c,16711935
167,f,16777215,t,65535
168,c,4278255615,d,4278190335
169,f,16777215,c,16711935
170,c,4278255615,t,65535
171,f,16777215,d,4278190335
