Agent, Maneuver, Tactic
0,W,d
1,L,c
2,W,t
3,L,d
4,W,c
5,L,t
6,W,d
7,L,c
8,W,t
9,L,d
10,W,c
11,L,t
12,W,d
13,L,c
14,W,t
15,L,d
16,W,c
17,L,t
18,W,d
19,L,c
20,W,t
21,L,d
22,W,c
23,L,t
24,W,d
25,L,c
26,W,t
27,L,d
28,W,c
29,L,t
30,W,d
31,L,c
32,W,t
33,L,d
34,W,c
35,L,t
36,W,d
37,L,c
38,W,t
39,L,d
40,W,c
41,L,t
42,W,d
43,L,c
44,W,t
45,L,d
46,W,c
47,L,t
48,W,d
49,L,c
50,W,t
51,L,d
52,W,c
53,L,t
54,W,d
55,L,c
56,W,t
57,L,d
58,W,c
59,L,t
60,W,d
61,L,c
62,W,t
63,L,d
64,W,c
65,L,t
66,W,d
67,L,c
68,W,t
69,L,d
70,W,c
71,L,t
72,W,d
73,L,c
74,W,t
75,L,d
76,W,c
77,L,t
78,W,d
79,L,c
80,W,t
81,L,d
82,W,c
83,L,t
84,W,d
85,L,c
86,W,t
87,L,d
88,W,c
89,L,t
90,W,d
91,L,c
92,W,t
93,L,d
94,W,c
95,L,t
96,W,d
97,L,c
98,W,t
99,L,d
