Key,Value
4634276266086,2
4634283737308,3
4634284130530,3
4634284720366,3
4634285179126,0
4634290946380,1
4634298614206,1
4634302087672,0
4634303988244,3
4634306019888,0
4634307330634,3
4634269712462,0
4634308510290,2
4634308117074,2
4634309558893,0
4634310214257,1
4634311721605,0
4634284523756,2
4634313163419,1
4634281509057,1
4634313032350,3
4634292650342,3
4634291339600,0
4634314277556,3
4634314998462,2
4634282950876,3
4634319389438,3
4634281509047,0
4634320438024,0
4634320175882,1
4634321027862,1
4634291077450,2
4634269843511,3
4634322928432,0
4634275676331,2
4634269712434,0
4634269712600,0
4634325549916,0
4634293436823,0
4634294354326,3
4634298024386,0
4634328302466,1
4634269712582,0
4634298810840,1
4634294681994,1
4634299924972,0
4634330268576,1
4634300908017,0
4634330596262,1
4634269712392,1
4634331186094,0
4634301956607,1
4634276987009,0
4634331448246,0
4634269712418,1
4634304578090,2
4634324435790,2
4634303398426,3
4634269712666,0
4634301104639,3
4634333807578,0
4634269712386,1
4634313294503,1
4634285441294,0
4634280788258,3
4634282033358,3
4634273906815,3
4634307592792,0
4634283409654,2
4634309165671,0
4634294354317,3
4634314146483,1
4634311066243,3
4634301039099,2
4634314867396,0
4634305299001,0
4634278363358,0
4634269909005,1
4634269712428,1
4634311918214,3
4634276528323,0
4634269712860,0
4634295140750,2
4634278953116,0
4634317685483,0
4634321093406,2
4634312180365,1
4634278625495,3
4634286031368,1
4634285703432,2
4634279542960,0
4634277314681,3
4634269712946,1
4634286817555,0
4634292191593,3
4634324697934,2
4634316243664,0
4634302349825,0
4634276593786,0
4634291143042,0
4634286358813,0
4634291798605,3
4634307134165,3
4634330006453,3
4634315915997,1
4634298221275,1
4634286555409,0
4634269712921,0
4634290488027,3
4634279739659,0
4629988049102,3
4629989163234,3
4629992767766,2
4629995585857,0
4629999321467,1
4630003057082,1
4630003646910,1
4630006268391,3
4630006465011,3
4630007120376,0
4630007775745,0
4630009020948,3
4630010200613,2
4630012363338,3
4629974745166,0
4630013542994,2
4630013149778,2
4629974745126,1
4630014591597,0
4629974745214,0
4630016688776,2
4630018196123,1
4629986541761,1
4629997683046,3
4629996372304,0
4630020031166,2
4629993685292,2
4629993423143,1
4629991194899,1
4629987983580,3
4629978939480,3
4630024422142,3
4630025208586,1
4629974745280,0
4630016557705,3
4630025470730,1
4629996110154,2
4630002663856,0
4630028944195,1
4629983002816,0
4629997683065,3
4629974745138,0
4629974745304,0
4629974745354,1
4629974745348,0
4629999387030,3
4629984444599,2
4630003057090,0
4630033335170,1
4629983658178,3
4629974745286,0
4630003843544,1
4630035301280,1
4630035628966,1
4630003974613,3
4629974745096,1
4630036349870,2
4630036218798,0
4630036349872,3
4629978480746,1
4630036480950,0
4629983002907,1
4629974745122,1
4630011052601,2
4629974745370,0
4630006727146,3
4629992898879,3
4629984837819,3
4629974745090,1
4629977890872,0
4630039757796,0
4630008693271,3
4630007317008,0
4630006727179,3
4630000566762,3
4629990473998,0
4629990342895,3
4629985820962,3
4629988442358,0
4630033007498,2
4629987459346,3
4630012822107,0
4630006071803,2
4629987524808,0
4630018720423,3
4630015640199,0
4630032221052,3
4630006333961,0
4630006071776,2
4629983396062,0
4629976121420,1
4629981364376,2
4629974745132,1
4630016950918,1
4629981561027,0
4630000173454,2
4630011839050,3
4630014853751,1
4629990736136,2
4630031106921,0
4629974745650,1
4630018327217,0
4629980709191,2
4630020424383,3
4629995782468,0
4630021276368,0
4630003450316,1
4630031696751,0
4630028813126,1
4629974745613,0
4630033728402,1
4630028026709,1
4629996831324,3
4630016623272,1
4630013346412,2
4630024487681,1
4630018130612,3
4629974745459,0
4625693802716,3
4625694195938,3
4625708089786,1
4625708679614,1
4625712153080,0
4625714053652,3
4625717396042,3
4625679777870,0
4625679777830,1
4625719231076,0
4625719624301,0
4625679777918,0
4625720869495,1
4625721721480,2
4625693081826,3
4625722311314,3
4625694982380,3
4625679777866,0
4625723097758,3
4625702715750,3
4625699963203,3
4625701405008,0
4625725063870,2
4625725915848,3
4625700028736,0
4625679777974,1
4625693016284,3
4625729454846,3
4625730503432,0
4625730241290,1
4634319782656,2
4625679777984,0
4625730503434,1
4625701142858,2
4625732469543,0
4625732993840,0
4625707696560,0
4625735091028,2
4625702322541,2
4625679778008,0
4625679778058,1
4625693737246,1
4625704419734,3
4625708417478,3
4625684627653,0
4625708089794,0
4625738367874,1
4625714840102,3
4625688690882,3
4625679777990,0
4625684562112,2
4625739154320,0
4625739547538,1
4625710318049,3
4625740333984,1
4625709007317,3
4625679777800,1
4625741382574,2
4625741251502,0
4625741382576,3
4625687052417,0
4625741841335,2
4625679777826,1
4625679778074,0
4625743610836,2
4625743807448,2
4625689870523,3
4625743872986,0
4625679777794,1
4625690001596,1
4625682923576,0
4625679777834,0
4625713725972,3
4625707303349,1
4625711759883,3
4625705599466,3
4625695506702,0
4625690853666,3
4625693475062,2
4625704419725,3
4625724211891,1
4625692492050,3
4625720672897,0
4625687052406,1
4625711104507,2
4625721459339,0
4625721918097,2
4625714840117,3
4625679974413,1
4625679777836,1
4625686593731,0
4625679908901,3
4625720476280,1
4625724736191,3
4625716871754,3
4625714774569,1
4625689018524,0
4625703895470,3
4625713463854,2
4625710842335,1
4625704550808,0
4625718379135,2
4625696882963,0
4625734435651,1
4625729258231,2
4625687183487,3
4625726309072,0
4625744069590,1
4625684365423,2
4625716937319,0
4625705927236,1
4625717985879,3
4625685872752,1
4625684889685,1
4625681940524,1
4625718510202,1
4625679777999,0
4625687380101,3
4625728013031,3
4621402833174,0
4621404078378,1
4621405782346,0
4621413122490,1
4621413712318,1
4621417185784,0
4621417710076,3
4621419086356,3
4621420331554,2
4621420528173,0
4621404799290,3
4621422166592,0
4621422559816,0
4621422428746,3
4621423280719,0
4621423215186,2
4621424329322,0
4621424657005,2
4621384810622,0
4621427671699,0
4621384810570,0
4621428130462,3
4621407748454,3
4621428720297,2
4621406437712,0
4621429375668,3
4621430096574,2
4621411746218,0
4621384810678,1
4621398048988,3
4621434487550,3
4621434880772,1
4621435273990,2
4621435536136,0
4621435273994,1
4630024815360,2
4621384810688,0
4621406175562,2
4621437502247,0
4621438026544,0
4634270761054,3
4621404930366,2
4621405847882,0
4621439992657,0
4621384810712,0
4621441368930,1
4621384810762,1
4621413122498,0
4621443400578,1
4621413777866,3
4621393723586,3
4621384810694,0
4621444187024,0
4621414629847,0
4621444580242,1
4621445366688,1
4621384810504,1
4621386055719,2
4621446284206,0
4621446415280,3
4621393068315,1
4621384810530,1
4621420134952,0
4621448643540,2
4621394903227,3
4621384810498,1
4621406110184,3
4621387956280,0
4621420986946,0
4621384810538,0
4621418758679,3
4621410632170,3
4621400539406,0
4621418299922,3
4621395886370,3
4621397131470,1
4621389201488,3
4621398507766,2
4621399097577,0
4634283409634,1
4621424263783,0
4621384810960,0
4621424788094,3
4621392085110,1
4621416137211,2
4621397590216,0
4621384810611,1
4621436977962,2
4621425705607,0
4621384810540,1
4621391626435,0
4621429768895,3
4621421904458,3
4621411484065,0
4621418496558,2
4621427671695,1
4621422690906,0
4621413188051,2
4621431341776,0
4621384810939,1
4621411812059,3
4621425574544,2
4621420003890,1
4621405061463,1
4621424657009,1
4621445170082,0
4621422363200,0
4621384810496,0
4617103147214,3
4617103737050,0
4617104261346,3
4617103540450,1
4617105572090,1
4617112519005,3
4617118089656,3
4617118745022,1
4617120580061,2
4617122218488,0
4617123201542,3
4617125364258,0
4617125823023,1
4617109831994,3
4617127461450,3
4617128247890,2
4617100460198,1
4617089843326,0
4617132245646,0
4617133163166,3
4617112781158,3
4617111470416,0
4617134408372,3
4617135129278,2
4617099739300,2
4621400932602,1
4617089843382,1
4617103081692,3
4617138340588,3
4617110159695,3
4617139520254,3
4617139913476,1
4617140306694,2
4617140568840,0
4617140306698,1
4617111208266,2
4617142534951,0
4617110880586,0
4617145156436,2
4617089843416,0
4617110290752,0
4617089843466,1
4617118155202,0
4617148433282,1
4617118810570,3
4617089843496,1
4617098756290,3
4617089843398,0
4617149219728,0
4617149612946,1
4617150399392,1
4617121038833,0
4617119072725,3
4617089843208,1
4617151447982,2
4617151316910,0
4617151447984,3
4617151710130,3
4617151841209,3
4617125495335,3
4617114812890,0
4617089843234,1
4617092268076,3
4617144566606,2
4617101771048,1
4617153938394,0
4617119269356,0
4617092988984,0
4617123529247,2
4617089843242,0
4617089974298,3
4617094168694,1
4617116516796,0
4617115664874,3
4617105572110,0
4617103540470,2
4629988442338,1
4617129296487,0
4617089843664,0
4617130738305,0
4617121169915,2
4617101312397,3
4617103212795,0
4617102622920,0
4617133818535,3
4617130738311,0
4617137095386,3
4617089843244,1
4617096659139,0
4617126937162,3
4617104916734,0
4617099083932,0
4617151841208,3
4617129951863,1
4617113960878,1
4617147450234,0
4617117303521,2
4617125691977,2
4617096396938,2
4617135522495,3
4617136308966,3
4617114026371,0
4617100263592,0
4617133621925,3
4617111667098,1
4617094430831,2
4617132507803,1
4617090891870,3
4617141814072,2
4617144042306,0
4617120055795,1
4617135391433,3
4617116909983,3
4617135325889,2
4617130476182,1
4617136571101,1
4612807983314,0
4612809294050,3
4612808573154,1
4612815847754,0
4612817551709,3
4612819911046,2
4612825022930,3
4612825612765,2
4612826792434,2
4612827251192,0
4612830593576,0
4612832494154,3
4612833280594,2
4612837212816,2
4612837737107,0
4612837409426,3
4612838261404,1
4612838195870,3
4612810670334,2
4612817813862,3
4612816503120,0
4612839441076,3
4612840161982,2
4617105965306,1
4612794876086,0
4612808114396,3
4612843373292,3
4612844225272,1
4612844946180,1
4612845339398,2
4612845601544,0
4612845339402,1
4621434880768,2
4612794876096,0
4612816240970,2
4612847567655,0
4612814995774,2
4612803002533,2
