Key, Value
8536762897399820,1
8536762897006602,0
8536762898055188,2
8536762897137680,0
8536762898317339,1
8536762896875550,3
8536762898710560,0
8536762897530911,0
8536762899103785,0
8536762896875566,2
8536762899497011,1
8536762899824694,3
8536762900086842,0
8536762900545596,1
8536762901069890,1
8536762899759167,1
8536762900217928,3
8536762901659722,0
8536762901790796,2
8536762901463118,1
8536762901594194,2
8536762900938827,1
8536762901397588,3
8536762901397590,2
8536762903232610,0
8536762898907185,0
8536762901528652,0
8536762898448426,3
8536762899497032,1
8536762901463126,0
8536762900742232,0
8536762896875618,2
8536762896875617,2
8536762901659728,0
8536762901921882,1
8536762896875609,2
8536758602432524,1
8536758602039306,0
8536758603087892,2
8536758602170384,0
8536758603350043,1
8536758601908254,3
8536758603743264,0
8536758602563615,0
8536758604005412,1
8536758604136489,0
8536758601908270,2
8536758604529715,1
8536758604857398,3
8536758605119546,0
8536758605578300,1
8536758606102594,1
8536758604791871,1
8536758605250632,3
8536758606692426,0
8536758606823500,2
8536758606495822,1
8536758606626898,2
8536758605971531,1
8536758606430292,3
8536758606430294,2
8536758608265314,0
8536758603939889,0
8536758606561356,0
8536758603481130,3
8536758604529736,1
8536758606495830,0
8536758605774936,0
8536758601908322,2
8536758601908321,2
8536758606692432,0
8536758606954586,1
8536758601908313,2
8536754307465228,1
8536754307072010,0
8536754308120596,2
8536754307203088,0
8536754308382747,1
8536754306940958,3
8536754308775968,0
8536754309038116,1
8536754309169193,0
8536754306940974,2
8536754309693490,2
8536754309562419,1
8536754309890102,3
8536754310152250,0
8536754310611004,1
8536754311135298,1
8536754309824575,1
8536754310283336,3
8536754311725130,0
8536754311856204,2
8536754311528526,1
8536754311004235,1
8536754311462996,3
8536754311462998,2
8536754313298018,0
8536754308972593,0
8536754311594060,0
8536754308513834,3
8536754311528534,0
8536754310807640,0
8536754306941026,2
8536754306941025,2
8536754311725136,0
8536754311987290,1
8536754306941017,2
8536750012497932,1
8536750012104714,0
8536750013153300,2
8536750012235792,0
8536750013415451,1
8536750011973662,3
8536750013808672,0
8536750014070820,1
8536750014201897,0
8536750011973678,2
8536750014595123,1
8536750014922806,3
8536750015184954,0
8536750015643708,1
8536750016168002,1
8536750014857279,1
8536750015316040,3
8536750016757834,0
8536750016888908,2
8536750016561230,1
8536750016692306,2
8536750016036939,1
8536750016495700,3
8536750016495702,2
8536750018330722,0
8536750014005297,0
8536750013546538,3
8536750016561238,0
8536750015840344,0
8536750011973730,2
8536750011973729,2
8536750016757840,0
8536750017019994,1
8536745717530636,1
8536745717137418,0
8536745718186004,2
8536745717268496,0
8536745718448155,1
8536745717006366,3
8536745718841376,0
8536745719103524,1
8536745717006382,2
8536745719627827,1
8536745719955510,3
8536745720676412,1
8536745721200706,1
8536745719889983,1
8536745720348744,3
8536745721790538,0
8536745721921612,2
8536745721593934,1
8536745721725010,2
8536745721069643,1
8536745721528404,3
8536745721528406,2
8536745723363426,0
8536745719038001,0
8536745718579242,3
8536745719627848,1
8536745721593942,0
8536745720873048,0
8536745717006433,2
8536745721790544,0
8536745722052698,1
8536745723166815,0
8536741422563340,1
8536741422170122,0
8536741423218708,2
8536741422301200,0
8536741423480859,1
8536741422039070,3
8536741423874080,0
8536741422694431,0
8536741424136228,1
8536741422039086,2
8536741424660531,1
8536741424988214,3
8536741425709116,1
8536741426233410,1
8536741424922687,1
8536741425381448,3
8536741426823242,0
8536741426954316,2
8536741426626638,1
8536741426757714,2
8536741426102347,1
8536741426561108,3
8536741426561110,2
8536741428396130,0
8536741424070705,0
8536741423611946,3
8536741424660552,1
8536741426626646,0
8536741425905752,0
8536741422039137,2
8536741426823248,0
8536741427085402,1
8536741428199519,0
8536737127596044,1
8536737127202826,0
8536737128251412,2
8536737127333904,0
8536737128513563,1
8536737127071774,3
8536737128906784,0
8536737127727135,0
8536737129168932,1
8536737127071790,2
8536737129693235,1
8536737130020918,3
8536737130741820,1
8536737131266114,1
8536737129955391,1
8536737130414152,3
8536737131855946,0
8536737131987020,2
8536737131659342,1
8536737131790418,2
8536737131135051,1
8536737131593812,3
8536737131593814,2
8536737133428834,0
8536737129103409,0
8536737128644650,3
8536737129693256,1
8536737131659350,0
8536737130938456,0
8536737127071841,2
8536737131855952,0
8536737132118106,1
8536737133232223,0
8536732832628748,1
8536732832235530,0
8536732833284116,2
8536732832366608,0
8536732833546267,1
8536732832104478,3
8536732833939488,0
8536732832759839,0
8536732834201636,1
8536732832104494,2
8536732834725939,1
8536732835053622,3
8536732835774524,1
8536732836298818,1
8536732834988095,1
8536732835446856,3
8536732836888650,0
8536732837019724,2
8536732836692046,1
8536732836823122,2
8536732836167755,1
8536732836626516,3
8536732836626518,2
8536732838461538,0
8536732834136113,0
8536732833677354,3
8536732834725960,1
8536732836692054,0
8536732835971160,0
8536732832104545,2
8536732836888656,0
8536732837150810,1
8536732836298822,0
8536728537661452,1
8536728537268234,0
8536728538316820,2
8536728537399312,0
8536728538578971,1
8536728537137182,3
8536728538972192,0
8536728539234340,1
8536728537137198,2
8536728539758643,1
8536728540086326,3
8536728540807228,1
8536728541331522,1
8536728540020799,1
8536728540479560,3
8536728541921354,0
8536728542052428,2
8536728541724750,1
8536728541855826,2
8536728541200459,1
8536728541659220,3
8536728541659222,2
8536728543494242,0
8536728539168817,0
8536728538710058,3
8536728539758664,1
8536728541724758,0
8536728541003864,0
8536728537137249,2
8536728541921360,0
8536728542183514,1
8536728541331526,0
8536724242694156,1
8536724242300938,0
8536724243349524,2
8536724242432016,0
8536724243611675,1
8536724242169886,3
8536724244004896,0
8536724244267044,1
8536724242169902,2
8536724244791347,1
8536724245119030,3
8536724245839932,1
8536724245053503,1
8536724245512264,3
8536724246954058,0
8536724247085132,2
8536724246757454,1
8536724246888530,2
8536724246233163,1
8536724246691924,3
8536724246691926,2
8536724248526946,0
8536724244201521,0
8536724243742762,3
8536724244791368,1
8536724246757462,0
8536724242169953,2
8536724246954064,0
8536724247216218,1
8536724246364230,0
8536719947726860,1
8536719947333642,0
8536719948382228,2
8536719947464720,0
8536719948644379,1
8536719947202590,3
8536719949037600,0
8536719949299748,1
8536719947202606,2
8536719949955122,2
8536719949824051,1
8536719950151734,3
8536719950872636,1
8536719950086207,1
8536719950544968,3
8536719951986762,0
8536719952117836,2
8536719951790158,1
8536719951921234,2
8536719951265867,1
8536719951724628,3
8536719951724630,2
8536719953559650,0
8536719949234225,0
8536719948775466,3
8536719949824072,1
8536719951790166,0
8536719947202657,2
8536719951986768,0
8536719952248922,1
8536719951396934,0
8536715652759564,1
8536715652366346,0
8536715653414932,2
8536715652497424,0
8536715653677083,1
8536715652235294,3
8536715654070304,0
8536715654332452,1
8536715652235310,2
8536715654856755,1
8536715655184438,3
8536715655905340,1
8536715655118911,1
8536715655577672,3
8536715657019466,0
8536715657150540,2
8536715656822862,1
8536715656953938,2
8536715656298571,1
8536715656757332,3
8536715656757334,2
8536715658592354,0
8536715654266929,0
8536715653808170,3
8536715654856776,1
8536715656822870,0
8536715652235361,2
8536715657019472,0
8536715657281626,1
8536715656429638,0
8536715653218329,2
8536711357792268,1
8536711357399050,0
8536711358447636,2
8536711357530128,0
8536711358709787,1
8536711357267998,3
8536711359103008,0
8536711359365156,1
8536711359037478,2
8536711357268014,2
8536711360020530,2
8536711359889459,1
8536711360217142,3
8536711360938044,1
8536711360151615,1
8536711360610376,3
8536711361855566,1
8536711361986642,2
8536711361331275,1
8536711361790036,3
8536711361790038,2
8536711363625058,0
8536711359299633,0
8536711358840874,3
8536711359955021,0
8536711359889480,1
8536711361855574,0
8536711357268065,2
8536711362052176,0
8536711362314330,1
8536711361462342,0
8536711358251033,2
8536711360217145,3
8536707062824972,1
8536707062431754,0
8536707063480340,2
8536707062562832,0
8536707063742491,1
8536707062300702,3
8536707064135712,0
8536707064397860,1
8536707064070182,2
8536707062300718,2
8536707065053234,2
8536707064922163,1
8536707065249846,3
8536707065970748,1
8536707065184319,1
8536707065643080,3
8536707066888270,1
8536707067019346,2
8536707066363979,1
8536707066822740,3
8536707066822742,2
8536707068657762,0
8536707064332337,0
8536707063873578,3
8536707064987725,0
8536707064922184,1
8536707066888278,0
8536707062300769,2
8536707067347034,1
8536707066495046,0
8536707063283737,2
8536702767857676,1
8536702767464458,0
8536702768513044,2
8536702767595536,0
8536702768775195,1
8536702767333406,3
8536702769168416,0
8536702769430564,1
8536702767333422,2
8536702770085938,2
8536702769954867,1
8536702770282550,3
8536702771003452,1
8536702770217023,1
8536702770675784,3
8536702771920974,1
8536702772052050,2
8536702771855444,3
8536702771855446,2
8536702773690466,0
8536702769365041,0
8536702768906282,3
8536702770020429,0
8536702769954888,1
8536702772576348,0
8536702771920982,0
8536702767333473,2
8536702771527750,0
8536702768316441,2
8536702772576349,1
8536698472890380,1
8536698472497162,0
8536698473545748,2
8536698472628240,0
8536698473807899,1
8536698472366110,3
8536698474201120,0
8536698474463268,1
8536698472366126,2
8536698475118642,2
8536698474987571,1
8536698475315254,3
8536698476036156,1
8536698475249727,1
8536698475708488,3
8536698476953678,1
8536698477084754,2
8536698476888148,3
8536698476888150,2
8536698478723170,0
8536698474397745,0
8536698473938986,3
8536698475053133,0
8536698474987592,1
8536698476953686,0
8536698472366177,2
8536698476560454,0
8536698473349145,2
8536694177923084,1
8536694177529866,0
8536694178578452,2
8536694177660944,0
8536694178840603,1
8536694177398814,3
8536694179233824,0
8536694179495972,1
8536694177398830,2
8536694180151346,2
8536694180020275,1
8536694180347958,3
8536694181068860,1
8536694180282431,1
8536694180741192,3
8536694181986382,1
8536694182117458,2
8536694181920852,3
8536694181920854,2
8536694183755874,0
8536694179430449,0
8536694178971690,3
8536694180020296,1
8536694182641756,0
8536694181986390,0
8536694177398881,2
8536694181593158,0
8536694178381849,2
8536689882955788,1
8536689882562570,0
8536689883611156,2
8536689882693648,0
8536689883873307,1
8536689882431518,3
8536689884266528,0
8536689884528676,1
8536689882431534,2
8536689885184050,2
8536689885052979,1
8536689885380662,3
8536689886101564,1
8536689885315135,1
8536689885773896,3
8536689887019086,1
8536689887150162,2
8536689886953556,3
8536689886953558,2
8536689888788578,0
8536689884463153,0
8536689887084620,0
8536689884004394,3
8536689885053000,1
8536689887674460,0
8536689888133210,3
8536689887019094,0
8536689882431585,2
8536689886625862,0
8536689883414553,2
8536685587988492,1
8536685587595274,0
8536685588643860,2
8536685587726352,0
8536685588906011,1
8536685587464222,3
8536685589299232,0
8536685587464238,2
8536685590216754,2
8536685590085683,1
8536685590413366,3
8536685591134268,1
8536685590347839,1
8536685590806600,3
8536685592051790,1
8536685592182866,2
8536685591527499,1
8536685591986260,3
8536685591986262,2
8536685593821282,0
8536685589495857,0
8536685592117324,0
8536685589037098,3
8536685590085704,1
8536685592707164,0
8536685593165914,3
8536685592051798,0
8536685587464289,2
8536685591658566,0
8536685590741055,1
8536685588447257,2
8536685590413369,3
8536681293021196,1
8536681292627978,0
8536681293676564,2
8536681292759056,0
8536681293938715,1
8536681292496926,3
8536681294331936,0
8536681292496942,2
8536681295249458,2
8536681295118387,1
8536681295446070,3
8536681296166972,1
8536681295380543,1
8536681295839304,3
8536681297084494,1
8536681297215570,2
8536681296560203,1
8536681297018964,3
8536681297018966,2
8536681298853986,0
8536681294528561,0
8536681297150028,0
8536681294069802,3
8536681295118408,1
8536681298198618,3
8536681297084502,0
8536681292496993,2
8536681296691270,0
8536681295773759,1
8536681293479961,2
8536681295446073,3
8536676998053900,1
8536676997660682,0
8536676998709268,2
8536676997791760,0
8536676998971419,1
8536676997529630,3
8536676999364640,0
8536676997529646,2
8536677000282162,2
8536677000151091,1
8536677000478774,3
8536677001199676,1
8536677000413247,1
8536677000872008,3
8536677002117198,1
8536677002248274,2
8536677001592907,1
8536677002051668,3
8536677002051670,2
8536677003886690,0
8536676999561265,0
8536677002182732,0
8536676999102506,3
8536677000151112,1
8536677003231322,3
8536677002117206,0
8536676997529697,2
8536677001723974,0
8536677000806463,1
8536676998512665,2
8536677000478777,3
8536672703086604,1
8536672702693386,0
8536672703741972,2
8536672702824464,0
8536672704004123,1
8536672702562334,3
8536672704397344,0
8536672702562350,2
8536672705314866,2
8536672705183795,1
8536672705511478,3
8536672706232380,1
8536672705445951,1
8536672705904712,3
8536672707280978,2
8536672707084372,3
8536672707084374,2
8536672708919394,0
8536672704593969,0
8536672707215436,0
8536672704135210,3
8536672705183816,1
8536672708264026,3
8536672707149910,0
8536672702562401,2
8536672706756678,0
8536672705839167,1
8536672703545369,2
8536672705511481,3
8536668408119308,1
8536668407726090,0
8536668408774676,2
8536668407857168,0
8536668409036827,1
8536668407595038,3
8536668409430048,0
8536668407595054,2
8536668410347570,2
8536668410216499,1
8536668410544182,3
8536668411265084,1
8536668410478655,1
8536668410937416,3
8536668412182606,1
8536668412313682,2
8536668412117076,3
8536668412117078,2
8536668413952098,0
8536668409626673,0
8536668412248140,0
8536668409167914,3
8536668410216520,1
8536668413296730,3
8536668412182614,0
8536668411461720,0
8536668407595105,2
8536668412641370,1
8536668411789382,0
8536668410871871,1
8536668408578073,2
8536668410544185,3
8536664113152012,1
8536664112758794,0
8536664113807380,2
8536664112889872,0
8536664114069531,1
8536664112627742,3
8536664114462752,0
8536664112627758,2
8536664115249203,1
8536664115576886,3
8536664116297788,1
8536664115511359,1
8536664115970120,3
8536664117215310,1
8536664117346386,2
8536664117149780,3
8536664117149782,2
8536664118984802,0
8536664114659377,0
8536664117280844,0
8536664114200618,3
8536664115249224,1
8536664117870684,0
8536664117215318,0
8536664116494424,0
8536664114200608,2
8536664112627809,2
8536664117674074,1
8536664116822086,0
8536664115904575,1
8536664113610777,2
8536664115576889,3
8536659818184716,1
8536659817791498,0
8536659818840084,2
8536659817922576,0
8536659819102235,1
8536659817660446,3
8536659819495456,0
8536659817660462,2
8536659820281907,1
8536659820609590,3
8536659821330492,1
8536659821723714,1
8536659820544063,1
8536659821002824,3
8536659822248014,1
8536659822379090,2
8536659822182484,3
8536659822182486,2
8536659824017506,0
8536659819692081,0
8536659822313548,0
8536659819233322,3
8536659820281928,1
8536659822903388,0
8536659822248022,0
8536659821527128,0
8536659822837855,0
8536659819233312,2
8536659817660513,2
8536659822706778,1
8536659821854790,0
8536659820937279,1
8536659818643481,2
8536659820609593,3
8536655523217420,1
8536655522824202,0
8536655523872788,2
8536655522955280,0
8536655524134939,1
8536655522693150,3
8536655524528160,0
8536655522693166,2
8536655525314611,1
8536655525642294,3
8536655526363196,1
8536655526756418,1
8536655525576767,1
8536655526035528,3
8536655522693192,3
8536655527280718,1
8536655527411794,2
8536655527215188,3
8536655527215190,2
8536655529050210,0
8536655524724785,0
8536655527346252,0
8536655524266026,3
8536655525380173,0
8536655525314632,1
8536655527280726,0
8536655526559832,0
8536655527870559,0
8536655522693217,2
8536655527739482,1
8536655526887494,0
8536655525969983,1
8536655523676185,2
8536655525642297,3
8536651228250124,1
8536651227856906,0
8536651228905492,2
8536651227987984,0
8536651229167643,1
8536651227725854,3
8536651229560864,0
8536651227725870,2
8536651230347315,1
8536651230674998,3
8536651231395900,1
8536651231789122,1
8536651230609471,1
8536651231068232,3
8536651227725896,3
8536651232313422,1
8536651232444498,2
8536651232247892,3
8536651232247894,2
8536651234082914,0
8536651229757489,0
8536651232378956,0
8536651229298730,3
8536651230412877,0
8536651230347336,1
8536651232968796,0
8536651232313430,0
8536651231592536,0
8536651229298720,2
8536651227725921,2
8536651232772186,1
8536651231920198,0
8536651231002687,1
8536651228708889,2
8536646933282828,1
8536646932889610,0
8536646933938196,2
8536646933020688,0
8536646934200347,1
8536646932758558,3
8536646934593568,0
8536646932758574,2
8536646935380019,1
8536646935707702,3
8536646936428604,1
8536646936821826,1
8536646935642175,1
8536646936100936,3
8536646932758600,3
8536646937346126,1
8536646937477202,2
8536646937280596,3
8536646937280598,2
8536646939115618,0
8536646934790193,0
8536646937411660,0
8536646934331434,3
8536646935445581,0
8536646935380040,1
8536646938001500,0
8536646937346134,0
8536646936625240,0
8536646934331424,2
8536646932758625,2
8536646937804890,1
8536646936952902,0
8536646936035391,1
8536646933741593,2
8536642638315532,1
8536642637922314,0
8536642638970900,2
8536642638053392,0
8536642639233051,1
8536642637791262,3
8536642639626272,0
8536642637791278,2
8536642640412723,1
8536642640740406,3
8536642641461308,1
8536642641854530,1
8536642640674879,1
8536642641133640,3
8536642637791304,3
8536642642378830,1
8536642642509906,2
8536642642313300,3
8536642642313302,2
8536642644148322,0
8536642639822897,0
8536642642444364,0
8536642639364138,3
8536642640478285,0
8536642643034204,0
8536642642378838,0
8536642641657944,0
8536642639364128,2
8536642637791329,2
8536642642837594,1
8536642641985606,0
8536642641068095,1
8536642638774297,2
8536638343348236,1
8536638342955018,0
8536638344003604,2
8536638343086096,0
8536638344265755,1
8536638342823966,3
8536638344658976,0
8536638342823982,2
8536638345445427,1
8536638342823987,3
8536638345773110,3
8536638346494012,1
8536638345707583,1
8536638346166344,3
8536638342824008,3
8536638347411534,1
8536638347542610,2
8536638347346004,3
8536638347346006,2
8536638349181026,0
8536638344855601,0
8536638347477068,0
8536638344396842,3
8536638345510989,0
8536638348066908,0
8536638347411542,0
8536638346690648,0
8536638344396832,2
8536638342824033,2
8536638347870298,1
8536638347018310,0
8536638346100799,1
8536638343807001,2
8536634048380940,1
8536634047987722,0
8536634049036308,2
8536634048118800,0
8536634049298459,1
8536634047856670,3
8536634049691680,0
8536634047856686,2
8536634050478131,1
8536634047856691,3
8536634050805814,3
8536634051526716,1
8536634050740287,1
8536634051199048,3
8536634047856712,3
8536634052640842,0
8536634052444238,1
8536634052575314,2
8536634052378708,3
8536634052378710,2
8536634054213730,0
8536634049888305,0
8536634049560605,0
8536634052509772,0
8536634049429546,3
8536634050543693,0
8536634050478152,1
8536634053099612,0
